Sample in Buffer,Sample in Window,TRIGGER,design_1_i/compress_0_WC_TDATA[31:0],design_1_i/compress_0_WC_TVALID
236,236,0,00000000000000000000010000100010,1
237,237,0,11111111111111111111111111111111,1
238,238,0,11111111111111111111111111111111,1
239,239,0,00000000000000000000010000110111,1
240,240,0,11111111111111111111111111111111,1
241,241,0,11111111111111111111111111111111,1
242,242,0,11111111111111111111111111111111,1
243,243,0,00000000000000000000010000100101,1
244,244,0,11111111111111111111111111111111,1
245,245,0,11111111111111111111111111111111,1
246,246,0,11111111111111111111111111111111,1
247,247,0,00000000000000000000010001010101,1
248,248,0,11111111111111111111111111111111,1
249,249,0,11111111111111111111111111111111,1
250,250,0,11111111111111111111111111111111,1
251,251,0,00000000000000000000010001001001,1
252,252,0,11111111111111111111111111111111,1
253,253,0,11111111111111111111111111111111,1
254,254,0,11111111111111111111111111111111,1
255,255,0,00000000000000000000010000111101,1
256,256,0,11111111111111111111111111111111,1
257,257,0,11111111111111111111111111111111,1
258,258,0,11111111111111111111111111111111,1
259,259,0,00000000000000000000010001011001,1
260,260,0,11111111111111111111111111111111,1
261,261,0,11111111111111111111111111111111,1
262,262,0,11111111111111111111111111111111,1
263,263,0,00000000000000000000010001001101,1
264,264,0,11111111111111111111111111111111,1
265,265,0,11111111111111111111111111111111,1
266,266,0,11111111111111111111111111111111,1
267,267,0,00000000000000000000010001000001,1
268,268,0,11111111111111111111111111111111,1
269,269,0,11111111111111111111111111111111,1
270,270,0,11111111111111111111111111111111,1
271,271,0,00000000000000000000010001011101,1
272,272,0,11111111111111111111111111111111,1
273,273,0,11111111111111111111111111111111,1
274,274,0,11111111111111111111111111111111,1
275,275,0,00000000000000000000010001010001,1
276,276,0,11111111111111111111111111111111,1
277,277,0,11111111111111111111111111111111,1
278,278,0,11111111111111111111111111111111,1
279,279,0,00000000000000000000010001000101,1
280,280,0,11111111111111111111111111111111,1
281,281,0,11111111111111111111111111111111,1
282,282,0,11111111111111111111111111111111,1
283,283,0,11111111111111111111111111111111,1
284,284,0,00000000000000000000010001100001,1
285,285,0,11111111111111111111111111111111,1
286,286,0,11111111111111111111111111111111,1
287,287,0,11111111111111111111111111111111,1
288,288,0,00000000000000000000010001001000,1
289,289,0,11111111111111111111111111111111,1
290,290,0,11111111111111111111111111111111,1
291,291,0,11111111111111111111111111111111,1
292,292,0,00000000000000000000010000111100,1
293,293,0,11111111111111111111111111111111,1
294,294,0,11111111111111111111111111111111,1
295,295,0,11111111111111111111111111111111,1
296,296,0,00000000000000000000010001011000,1
297,297,0,11111111111111111111111111111111,1
